Co_ID|PO ID|Exchange|Name| Root_Ticker | qmv | OS_Shares | tech_sub_sec | cps | re |Sector| Sub_Sector |type_of_listing|date_of_listing|QT_Date|RTO_Date|Date_of_amalgamation|Interlisted|formar_cpc_or_cpc|Ven_50_2018|Index|hq_location|hq_region|usa_city|USA_State|Asia_Region|clean_tech_primary|clean_tech_sub_sector|Section|trust| volume_ytd | value_ ytd | num_traded_share_ytd | num_of_month_trading_data |AFRICA|AUS_NZ_PNG|CANADA|CHINA_ ASIA|LATIN_AMERICA|OTHER|UK_EUROPE|USA|Oil_Gas|Gold|Silver|Copper|Nickel|Diamond|Molybdenum|Platinum_PGM|Iron|Lead|Zinc|Rare Earths|Potash|Lithium|Uranium|Coal|Tungsten|base_ precious_metals|mineral_properties|other_properties|
V-02447|1109331|TSXV |Sama Resources Inc./Ressources Sama Inc.|SME| 61,121,583 | 188,426,410 ||||Mining||QT|20070207|20091118||||Yes||1|BC|Canada||||||Tier2|| 28,074,143 | 11,271,823 | 5,639 |6|C“te d'Ivoire, Guinea|||||||||||1|1||||||||||||||||
V-03826|1147995|TSXV |Samco Gold Limited|SGA| 2,564,434 | 46,626,075 ||||Mining||IPO|20110708|||||No|||UK|UK/Europe||||||Tier2|| 1,371,257 | 74,337 | 173 |6|||||Argentina|||||1|||||||||||||||||||
V-02701|1111413|TSXV |San Marco Resources Inc.|SMN| 12,925,786 | 66,286,082 ||||Mining||IPO|20071218|||||No|||BC|Canada||||||Tier2|| 9,231,747 | 1,964,072 | 1,107 |6|||BC||Mexico|||||1|1|1||||||||||||||1|||
V-02307|1104541|TSXV |Sanatana Resources Inc.|STA| 6,692,843 | 148,729,834 ||||Mining||Other|20060517|||||No|||BC|Canada||||||Tier2|| 17,278,675 | 741,720 | 597 |6|||ON|||||||1|||||||||||||||||||
V-00796|1009773|TSXV |Sandfire Resources America Inc.|SFR| 52,844,596 | 503,281,865 ||||Mining||Other|20050214||||OTCQB|No||1|USA|USA|White Sulphur Springs|MT||||Tier2|| 5,982,919 | 601,064 | 570 |6||||||||MT||1|1|1||||||||||||||||Cobalt|
V-02581|1112964|TSXV |Sandspring Resources Ltd.|SSP| 33,832,806 | 132,677,672 ||||Mining||QT|20070824|20091130||||Yes||1|USA|USA|Centennial|CO||||Tier1|| 15,146,861 | 4,642,128 | 2,993 |6|||||Guyana|||||1||1|||||||||||||||||
V-03674|1140685|TSXV |Sandy Lake Gold Inc.|SLAU| 5,665,679 | 94,427,982 ||||Mining||IPO|20101118|||||No|||ON|Canada||||||Tier2|| 8,647,886 | 601,718 | 467 |6|||ON|||||||1||1|||||||1||||||||||
V-03875|1146075|TSXV |Santacruz Silver Mining Ltd.|SCZ| 16,493,220 | 174,420,984 ||||Mining||QT|20111007|20120416|||SSEV|Yes||1|Mexico|Latin America||||||Tier2|| 13,294,015 | 1,747,220 | 2,284 |6|||||Mexico||||||1||||||||||||||||||
V-03900|1151090|TSXV |Sarama Resources Ltd.|SWA| 18,171,040 | 181,710,402 ||||Mining||IPO|20111103|||||No||1|Australia|Australia/NZ/PNG||||||Tier2|| 7,750,397 | 876,337 | 704 |6|Burkina Faso,Liberia,Mali|||||||||1|||||||||||||||||||
V-03954|1154650|TSXV |Satori Resources Inc.|BUD| 1,965,495 | 28,078,507 ||||Mining||Other|20120202|||||No|||ON|Canada||||||Tier2|| 2,711,713 | 295,941 | 400 |6|||MB|||||||1|||||||||||||||||||
